X,Y
4204.42,-3940.76
5098.36,-3264.03
5183.11,-3207.45
5255.3,-3215.78
5255.38,-3261.06
5166.61,-3274.48
5277.78,-3310.91
5727.1,-3231.44
5655.62,-3216.96
5814.63,-3247.95
5663.1,-3334.47
5310.03,-3361.03
5398.43,-3263.27
5429.43,-3274.56
5403.98,-3319.79
5469.66,-3337.61
5441.2,-3343.08
5427.26,-3378.95
5103.1,-3391.43
5521.77,-3345.27
5341.4,-3419.43
5474.95,-3431.05
5596.1,-3363.45
5247.19,-3456.42
5460.75,-3488.94
5159.58,-3432.43
5063.7,-3434.8
5271.29,-3509.11
5514.29,-3498.04
5089.21,-3519.29
5275.47,-3556.84
5580.59,-3510.48
5272.01,-3600.17
5293.5,-3628.34
5120.83,-3582.55
5220.74,-3666.23
5324.25,-3673.61
5185.78,-3657.98
5083.6,-3688.43
5287.32,-3688.85
5306.92,-3737.77
5172.94,-3734.82
5427.22,-3661.82
5454.91,-3704.06
5414.85,-3747.88
5469.64,-3758.48
5084.01,-3781.27
5415.25,-3791.24
5179.23,-3806.22
5141.57,-3820.99
5271.52,-3822.44
5458.83,-3864.19
5650.09,-3771.42
5702.62,-3811.92
5632.13,-3691.97
5690.64,-3713.47
5435,-3884.22
5360.33,-3890.43
5762.6,-3708.46
5801.62,-3823.97
5749.63,-3902.47
5287.6,-3883.96
5523.02,-3921.52
5450.05,-3932.73
5388.49,-3942.51
5468.9,-3975.99
5144.62,-3967.61
5201.62,-3940.31
5292.54,-3971.69
5893.61,-3909.94
5901.59,-4027.93
5543.32,-3988.18
5772.63,-3967.45
5875.63,-3269.93
5648.09,-3479.47
5840.1,-3429.45
5904.12,-3492.48
5630.62,-3565.98
2911.44,-62.5
2901.25,-104.03
2870.71,-173.64
2776.6,-237.77
2912.08,-240.05
2427.86,-227.91
2451.96,-279.87
2662.38,-274.3
2750.66,-322.74
2826.53,-351.53
2945.04,-280.09
2258.97,-241.6
2207.53,-260.53
2695.81,-340.9
3055.47,-327.7
2827.49,-401.22
3127.27,-283.01
2786.31,-450.28
2150.22,-517.27
2207.93,-547.64
2773.88,-547.58
2878.53,-524.36
2854.01,-573.48
2703.96,-612.49
2838.06,-636.1
2263.72,-578.88
2306.36,-611.88
2228.2,-650.96
2245.97,-691.3
2412.67,-584.55
2304.61,-743.3
2202.42,-760.1
2254.05,-772.84
2739.49,-685.28
2678.11,-710.62
2689.43,-784.35
2724.53,-791.86
2506.38,-710.06
2565.22,-717.53
2529.35,-773.81
2466.94,-615.55
2631.29,-825.33
2983.88,-746.53
2883.05,-758.87
2937.06,-762.63
3001.23,-666.38
2930.89,-676.86
2977.34,-826.99
2785.52,-821.34
2170.15,-833.09
2632.98,-880.38
2537.81,-927.56
2875.86,-886.31
2803.08,-885.71
2469.1,-927.47
2461.09,-972.82
2651.65,-461.87
2593.59,-481.25
2626.42,-523.49
2994.11,-539.51
2958.71,-583.38
3059.57,-640.13
3139.3,-624.77
2157.01,-915.1
3438.87,-232.57
3421.8,-111.26
3512.35,-167.85
3422.33,-168.47
3375.55,-213.19
3320.63,-320.97
3352.06,-425.29
3254.48,-275.23
3226.13,-386.49
3914.69,-336.65
3954.63,-241.97
3873.44,-293.13
3958.15,-354.99
3843.65,-394.1
3867.7,-445.65
3244.17,-449.58
3411.43,-457.63
3471.88,-428.2
3305.79,-448.97
3371.47,-524.21
3245.84,-572.31
3532.62,-466.47
3454.2,-590.55
3408.97,-654.03
3666.35,-611.65
3689.59,-491.72
3594.21,-545.97
3614.7,-604.84
3753.65,-622.44
3590.05,-647.71
3638.33,-699.7
3248.53,-641.87
3341.55,-723.48
3196.65,-738.79
3418.47,-721.92
3483.95,-757.98
3490.27,-809.58
3361.88,-849.26
3164.67,-841.89
3134.13,-773.42
3122.74,-895.89
3852.82,-901.55
3930.25,-836.58
3937.93,-882.9
3793.78,-882.45
3831.89,-1007.72
3850.12,-101.52
3733.03,-147.62
3918.24,-164.04
3831.04,-183.18
3606.84,-149.09
3684.91,-183.71
3610.41,-218.35
3641.01,-254.79
3803.26,-230.34
3754.47,-261.07
3776.55,-349.96
3786.02,-398.93
3581.86,-402.46
3579.58,-496.97
3973.69,-562.29
4081.05,-529.82
4056.97,-490.62
4036.67,-571.34
3789.96,-680.96
3703.64,-735.9
3571.39,-770.31
3656.63,-764.19
3717.03,-796.37
3926.81,-743.97
4021.91,-775.82
3594.43,-829.1
3313.49,-874.53
3354.89,-958.53
4037.45,-915.82
3434.64,-971.47
3382.74,-1050.24
3500.39,-1053.43
3449.47,-1077.73
3679.02,-978.33
3577.01,-1031.97
3634.93,-1031.14
3646.62,-1066.59
3911.4,-1066.16
3818.86,-1122.68
3882.51,-1119.21
4292.12,-247.76
4399.83,-303.39
4256.73,-356.53
4754.97,-287.66
4712.66,-206.38
4738.69,-386.26
4347.39,-365.2
4404.67,-358.87
4157.88,-328.87
4167.35,-449.74
4120.96,-346.92
4131.74,-448.33
4259.1,-489.39
4209.4,-533.66
4097.73,-597.14
4120.16,-624.62
4429.74,-569.67
4446.15,-634.07
4378,-670.79
4495.66,-525.13
4759.09,-612.61
4767.88,-544.04
4726.11,-723.03
4380.59,-736.81
4306.82,-693.2
4497.6,-857.63
4522.5,-794.11
4724.94,-148.83
4681.06,-411.29
4755.36,-473.55
4611.08,-439.03
4528.05,-460.46
4066.65,-657.67
4120.83,-733.34
4266.26,-744.09
